,Country,State,Incident description,Vehicle model,Mode,Damage description,Injury description,Vehicle status,Fault,Weather,Time of Day,Road Conditions,Driverless,Collision Type,Vehicle type,Date,Time,Google Street View,Latitude,Longitude,near intersection,near crosswalk,near bus-bike lane,near two-way road,near traffic light,near light pole,near stop line,near stop sign,detection applied,Other Parties,Injury,Damage,Validity
0,United States,California,The AV driver made contact with a cyclist traveling in the unprotected bike lane while making a right turn.,Chevrolet Bolt,Conventional,No damage,The cyclist sustained injury,Moving,In-vehicle AV driver,Clear,Daylight,Dry,No,Unknown,Passenger car,13/04/2019,11:45,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.804770,-122.450155",37.80477,-122.450155,False,False,False,False,False,False,False,False,True,Cyclist  ,Slight  ,No Damage  ,Valid
1,United States,California,"The AV driver was traveling in a narrow passageway, when the AV driver approached a stop sign and steered to the right around a parked Honda Element with oncoming traffic approaching and made contact with the Honda.",Jaguar I-Pace,Conventional,Rear right sensor,No injury,Moving,In-vehicle AV driver,Clear,Daylight,Dry,No,Side swipe,Passenger car,06/03/2022,7:34,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.805822,-122.440079",37.805822,-122.440079,False,False,False,False,True,True,False,True,True,Car  ,No Injury  ,Slight  ,Valid
2,United States,California,"While approaching a stop sign, the AV was rear-ended by a Honda Civic.",Chevrolet Bolt,Autonomous,Rear bumper,"The AV driver later experienced neck stiffness, sought medical treatment",Moving,Driver of another vehicle,Unknown,Unknown,Unknown,No,Rear-end,Passenger car,23/03/2018,12:54,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.800868,-122.443323",37.800868,-122.443323,False,False,False,False,False,False,False,True,True,Car  ,Slight  ,Slight  ,Valid
3,United States,California,The AV driver reversed out of its diagonal parking spot in a private parking lot while a Honda Civic was simultaneously reversing out of its diagonal parking spot on the other side and made contact with the right rear corner of the AV.,Chevrolet Bolt,Conventional,Rear right taillamp assembly,No injury,Moving,Shared fault,Clear,Daylight,Dry,No,Unknown,Passenger car,26/10/2019,13:50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.804745,-122.433057",37.804745,-122.433057,False,False,False,False,False,True,False,False,True,Car  ,No Injury  ,Slight  ,Valid
4,United States,California,The AV was proceeding through the intersection when the front of the AV made contact with cardboard debris.,Jaguar I-Pace,Autonomous,Front bumper,No injury,Moving,No fault,Clear,"Night, with street lights",Dry,Yes,Hit object,Passenger car,14/02/2023,5:44,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.804052,-122.433490",37.804052,-122.43349,True,True,False,False,False,True,True,False,True,Other  ,No Injury  ,Slight  ,Valid
5,United States,California,The AV was stopped at a red light when a lane-splitting motorcycle made contact with the AV.,Chevrolet Bolt,Autonomous,Front right articulating radar cover,No injury,Stationary,Motorcyclist,Cloudy,Daylight,Dry,No,Unknown,Passenger car,07/05/2019,8:54,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.803850,-122.426735",37.80385,-122.426735,True,True,False,False,True,True,False,False,True,Motorcycle  ,No Injury  ,Slight  ,Valid
6,United States,California,"The AV was stopped at the intersection yielding to an illegally u-turning skateboard in front of the AV. While yielding, a bicyclist was coming from behind the AV, looking to the left. When the bicyclist turned his head forward, it was too late to react in time to the stopped AV and collided with the AV. The AV driver disengaged autonomous mode and hand signaled to the bicyclist to pull over to the closest safe place to park. As the AV driver got out of the car to check the bicyclist, the bicyclist was already on in motion on his bicycle and ""fist bumped"" the AV driver while passing him and leaving the scene.",Nissan Leaf,Autonomous,Rear bumper,No injury,Stationary,Cyclist,Cloudy,Daylight,Dry,No,Rear-end,Passenger car,30/04/2023,11:41,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.805128,-122.417449",37.805128,-122.417449,True,True,False,True,True,True,False,False,True,Cyclist  ,No Injury  ,Slight  ,Valid
7,United States,California,"The AV was stopped at a red light in the left of two lanes. When the light turned green, the AV began to proceed forward toward the intersection. In the right lane, another vehicle drifted within its lane toward the AV. The AV responded by deceleraring, and a BMW 633 CSi following closely behind rear-ended the AV.",Chevrolet Bolt,Autonomous,Small dent and crack in rear bumper,No injury,Moving,Driver of another vehicle,Unknown,Unknown,Unknown,No,Rear-end,Passenger car,17/09/2017,15:20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.805152,-122.417365",37.805152,-122.417365,False,True,False,False,True,True,False,False,True,Car  ,No Injury  ,Slight  ,Valid
8,United States,California,"The AV was traveling straight, approaching the intersection, when the AV slowed down. The AV driver disengaged autonomous mode, and shortly thereafter, a Honda changing into the AV's lane from the left adjacent lane made contact with the AV.",Chevrolet Bolt,Disengagement,No damage,The AV driver and monitoring operator later mentioned neck and shoulder pain,Moving,Driver of another vehicle,Clear,Daylight,Dry,No,Unknown,Passenger car,28/01/2020,10:09,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.804761,-122.416546",37.804761,-122.416546,False,True,True,False,False,True,False,False,True,Car  ,Slight  ,No Damage  ,Valid
9,United States,California,"The AV detected an oncoming pickup truck in its lane. The AV stopped and the pickup truck re-entered the correct lane and passed the AV. The pickup truck was immediately followed by a large group of cyclists in multiple lanes of the roadway, including the right lanes on the wrong side of the double-yellow centerline. The AV remained stopped as the oncoming cyclists rode around both sides of the AV. One cyclist then made contact with the AV and then left the scene.",Jaguar I-Pace,Autonomous,Front bumper,No injury,Stationary,Cyclist,Clear,Daylight,Dry,Yes,Head-on,Passenger car,06/05/2023,15:28,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.805611,-122.413908",37.805611,-122.413908,True,True,False,True,True,True,False,False,True,Cyclist  ,No Injury  ,Slight  ,Valid
